Date,Close
3/3/2015 16:00:00,384.61
3/4/2015 16:00:00,382.72
3/5/2015 16:00:00,387.83
3/6/2015 16:00:00,380.09
3/9/2015 16:00:00,378.56
3/10/2015 16:00:00,369.51
3/11/2015 16:00:00,366.37
3/12/2015 16:00:00,374.24
3/13/2015 16:00:00,370.58
3/16/2015 16:00:00,373.35
3/17/2015 16:00:00,371.92
3/18/2015 16:00:00,375.14
3/19/2015 16:00:00,373.24
3/20/2015 16:00:00,378.49
3/23/2015 16:00:00,375.11
3/24/2015 16:00:00,374.09
3/25/2015 16:00:00,370.96
3/26/2015 16:00:00,367.35
3/27/2015 16:00:00,370.56
3/30/2015 16:00:00,374.59
3/31/2015 16:00:00,372.1
4/1/2015 16:00:00,370.26
4/2/2015 16:00:00,372.25
4/6/2015 16:00:00,377.04
4/7/2015 16:00:00,374.41
4/8/2015 16:00:00,381.2
4/9/2015 16:00:00,383.54
4/10/2015 16:00:00,382.65
4/13/2015 16:00:00,382.36
4/14/2015 16:00:00,385.11
4/15/2015 16:00:00,383.45
4/16/2015 16:00:00,386.04
4/17/2015 16:00:00,375.56
4/20/2015 16:00:00,389.51
4/21/2015 16:00:00,391.18
4/22/2015 16:00:00,389.8
4/23/2015 16:00:00,389.99
4/24/2015 16:00:00,445.1
4/27/2015 16:00:00,438.56
4/28/2015 16:00:00,429.31
4/29/2015 16:00:00,429.37
4/30/2015 16:00:00,421.78
5/1/2015 16:00:00,422.87
5/4/2015 16:00:00,423.04
5/5/2015 16:00:00,421.19
5/6/2015 16:00:00,419.1
5/7/2015 16:00:00,426.88
5/8/2015 16:00:00,433.69
5/11/2015 16:00:00,432.85
5/12/2015 16:00:00,431.02
5/13/2015 16:00:00,426.87
5/14/2015 16:00:00,432.28
5/15/2015 16:00:00,426
5/18/2015 16:00:00,425.24
5/19/2015 16:00:00,421.71
5/20/2015 16:00:00,423.86
5/21/2015 16:00:00,431.63
5/22/2015 16:00:00,427.63
5/26/2015 16:00:00,425.47
5/27/2015 16:00:00,431.42
5/28/2015 16:00:00,426.57
5/29/2015 16:00:00,429.23
6/1/2015 16:00:00,430.92
